rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,50,50,500,0,200000,42,100,50,103.380000,91.300797,8335.835600,11.700000,210.200000,3.000000,441.000000,198914.820000,974.093706,948858.547600,197651.100000,199904.200000,195360.000000,199999.000000,75425.332603,75425.332603,100.009118,0.378683,0.00137062703515,2.63724153592,0.0685313517573,131.862076796,0.00140024398667,0.00119957995273,4.42201382439e-05,0.00786301266658,3.34609087292,3.4403425484,1.57769522841,34.1829167385,0.0700121993337,0.0599789976365,0.0022110069122,0.393150633329,167.304543646,172.01712742,78.8847614205,1709.14583692,101.871493,91.100411,2.190870,438.777727,1,-0.001,50,distance
0.02,0.5,1.1,0.5,50,50,500,0,200000,42,100,50,117.510000,102.409521,10487.709900,12.000000,236.700000,2.000000,669.000000,198602.470000,1261.715288,1591925.469101,197111.600000,199867.300000,191906.000000,199994.000000,80273.811345,80273.811345,98.197027,0.403701,0.00146386471541,2.47406304337,0.0731932357706,123.703152169,0.0015981302608,0.00138834874428,2.15555780752e-05,0.00708557716754,2.76122585182,1.045401665,1.16067300979,6.2806007737,0.0799065130401,0.069417437214,0.00107777890376,0.354278858377,138.061292591,52.2700832499,58.0336504893,314.030038685,115.904524,102.278047,0.144332,665.693194,1,-0.001,50,distance
0.02,0.5,1.2,0.5,50,50,500,0,200000,42,100,50,111.730000,109.500489,11990.357100,8.900000,235.500000,2.000000,674.000000,198452.560000,1583.831129,2508521.046402,196739.300000,199881.700000,190175.000000,199990.000000,76373.508199,76373.508199,96.628368,0.384360,0.00146294183199,2.598447612,0.0731470915993,129.9223806,0.00150299917581,0.00135798288103,2.29080524772e-05,0.00782570556019,3.45073350118,4.08271988607,1.47384687126,39.8416568604,0.0751499587906,0.0678991440513,0.00114540262386,0.391285278009,172.536675059,204.135994303,73.6923435631,1992.08284302,110.202530,109.261058,0.253889,671.603050,1,-0.001,50,distance
0.02,0.5,1.3,0.5,50,50,500,0,200000,42,100,50,110.930000,121.614658,14790.125100,8.000000,242.000000,2.000000,632.000000,198209.650000,1985.778826,3943317.547501,196081.700000,199900.800000,189872.000000,199999.000000,75038.396495,75038.396495,97.267840,0.378092,0.00147830984111,2.64144303793,0.0739154920555,132.072151897,0.00140173553051,0.00128015611181,4.7544234361e-05,0.00669750173668,3.21092481633,1.88460225591,1.39741792966,11.9579525806,0.0700867765254,0.0640078055904,0.00237721171805,0.334875086834,160.546240816,94.2301127953,69.8708964831,597.897629031,109.429232,121.337421,1.158678,629.494084,1,-0.001,50,distance
0.02,0.5,1.4,0.5,50,50,500,0,200000,42,100,50,100.160000,96.584856,9328.634400,10.000000,215.900000,2.000000,518.000000,198149.020000,1805.774100,3260820.099602,195941.700000,199859.500000,190215.000000,199998.000000,79762.430987,79762.430987,78.470745,0.402144,0.00125572902883,2.48423998051,0.0627864514414,124.211999025,0.00123795619201,0.00100854605428,2.07995776321e-05,0.00404305448486,2.91873975564,1.59195247797,1.34238661155,11.0887418644,0.0618978096003,0.0504273027141,0.00103997888161,0.202152724243,145.936987782,79.5976238986,67.1193305775,554.437093219,98.564751,96.333383,0.076884,515.437581,1,-0.001,50,distance
0.02,0.5,1.5,0.5,50,50,500,0,200000,42,100,50,98.190000,92.393581,8536.573900,15.700000,210.200000,4.000000,450.000000,197840.680000,2092.943119,4380410.897606,195567.400000,199667.900000,189454.000000,199971.000000,77365.035708,77365.035708,88.573750,0.390601,0.00126917798332,2.5572363302,0.0634588991662,127.86181651,0.00129104412477,0.00105124617482,5.47478917742e-05,0.00487272188632,3.29982124549,2.72797410179,1.36585519967,20.6631745052,0.0645522062387,0.0525623087411,0.00273739458871,0.243636094316,164.991062275,136.398705089,68.2927599835,1033.15872526,96.642699,92.128735,2.538757,447.317352,1,-0.001,50,distance
0.02,0.5,1.6,0.5,50,50,500,0,200000,42,100,50,107.350000,96.244831,9263.067500,12.000000,220.300000,3.000000,555.000000,197266.460000,2496.633815,6233180.408401,194515.400000,199702.100000,185894.000000,199979.000000,78469.312559,78469.312559,98.576820,0.397286,0.00136805072581,2.51393128813,0.0684025362905,125.696564407,0.00140928721674,0.00126953666148,3.09180134233e-05,0.00761579887878,2.89574413091,1.43739060307,1.24627751681,11.9766382264,0.0704643608372,0.0634768330738,0.00154590067117,0.380789943939,144.787206545,71.8695301535,62.3138758405,598.831911321,105.780614,96.064184,1.059384,552.016812,1,-0.001,50,distance
0.02,0.5,1.7,0.5,50,50,500,0,200000,42,100,50,122.190000,107.542428,11565.373900,14.800000,275.100000,2.000000,483.000000,196413.760000,3177.129988,10094154.962402,192058.900000,199621.700000,185654.000000,199966.000000,80917.363630,80917.363630,96.405807,0.411485,0.00151005908396,2.42733760948,0.0755029541979,121.366880474,0.00151357401213,0.00120013892749,2.65195364404e-05,0.00568736039353,2.88282479037,1.64714119938,1.31263901694,9.78099434623,0.0756787006066,0.0600069463745,0.00132597682202,0.284368019677,144.141239518,82.357059969,65.631950847,489.049717312,120.571653,107.320463,0.491678,480.171286,1,-0.001,50,distance
0.02,0.5,1.8,0.5,50,50,500,0,200000,42,100,50,110.270000,116.728647,13625.577100,12.800000,248.500000,2.000000,752.000000,196263.880000,4038.119660,16306410.385597,191262.200000,199617.700000,173874.000000,199999.000000,76490.541112,76490.541112,93.073259,0.389261,0.00144161615799,2.5658581721,0.0720808078994,128.292908605,0.00150581350435,0.00156670911239,2.42348318069e-05,0.0082999116639,3.11800578312,1.9120668336,1.31210309661,12.2278916629,0.0752906752173,0.0783354556194,0.00121174159034,0.414995583195,155.900289156,95.60334168,65.6051548306,611.394583143,108.740189,116.494014,0.349483,749.349690,1,-0.001,50,distance
0.02,0.5,1.9,0.5,50,50,500,0,200000,42,100,50,88.450000,89.719493,8049.587500,9.000000,219.100000,3.000000,504.000000,196519.060000,3592.212062,12903987.496399,191643.100000,199641.100000,180356.000000,199963.000000,76842.636422,76842.636422,101.405497,0.390505,0.00115105368736,2.55742214415,0.0575526843682,127.871107208,0.0011755528376,0.00115399162162,3.34515236942e-05,0.00588542202521,3.05189187856,2.06577839275,1.63641226243,16.5831854855,0.0587776418799,0.0576995810812,0.00167257618471,0.294271101261,152.594593928,103.288919637,81.8206131213,829.159274276,86.913147,89.568052,1.206360,502.178105,1,-0.001,50,distance
