rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,lc,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.04,0.5,1,0.5,25,50,500,0,2.5,300000,42,1500,25,28923.058000,469.191979,220141.113303,28288.800000,29481.100000,27043.000000,30000.000000,34679.954667,204.522333,41829.384612,34411.900000,34941.000000,33936.000000,35409.000000,1755830.127798,1755830.127798,49.285909,50.628170,0.0164725832768,0.0197513154135,0.411814581919,0.493782885338,0.0164725858832,0.000265635934026,0.0154421326604,0.0170847385191,0.0197513686929,0.000119640174032,0.0192978479137,0.0201703888697,0.411814647079,0.00664089835057,0.38605331651,0.427118462978,0.493784217322,0.00299100435079,0.482446197842,0.504259721743,28887.941397,469.184792,27007.975045,29964.814126,1,-0.001,50,distance
0.04,0.5,1.1,0.5,25,50,500,0,2.5,300000,42,1500,25,26315.208000,423.634744,179466.396736,25783.900000,26819.000000,24499.000000,27264.000000,31786.676000,196.580139,38643.751024,31539.900000,32044.000000,31185.000000,32540.000000,1588429.633880,1588429.633880,49.237408,49.970087,0.0165668075178,0.0200113844026,0.414170187944,0.500284610064,0.0165668238556,0.000265876076565,0.0154493960128,0.0171800997718,0.0200114528011,0.000128861106142,0.0196053578067,0.0204576640635,0.414170596389,0.006646901914,0.386234900321,0.429502494296,0.500286320027,0.0032215276537,0.490133945168,0.511441601588,26283.439407,423.629570,24467.284844,27232.132882,1,-0.001,50,distance
0.04,0.5,1.2,0.5,25,50,500,0,2.5,300000,42,1500,25,23769.722667,417.019872,173905.573753,23216.900000,24262.300000,21714.000000,24850.000000,28997.839333,187.336286,35094.884186,28762.000000,29236.000000,28389.000000,29560.000000,1430057.253948,1430057.253948,47.872363,49.314455,0.0166215181952,0.0202773974631,0.41553795488,0.506934936578,0.0166215596991,0.00029205086816,0.0152069343454,0.017412048601,0.0202774671401,0.000135422936444,0.0198290880918,0.0206771586407,0.415538992477,0.00730127170401,0.380173358635,0.435301215025,0.506936678503,0.00338557341098,0.495727202294,0.516928966019,23741.121522,417.017416,21685.441976,24821.344334,1,-0.001,50,distance
0.04,0.5,1.3,0.5,25,50,500,0,2.5,300000,42,1500,25,21397.867333,403.917013,163148.953733,20869.700000,21852.100000,19346.000000,22324.000000,26365.688000,187.487813,35151.679989,26124.000000,26606.300000,25771.000000,27086.000000,1282896.262531,1282896.262531,48.677958,48.656056,0.0166793434187,0.0205516913332,0.416983585468,0.513792283329,0.0166793698599,0.000314221302412,0.0151320421864,0.0174080295108,0.0205517588853,0.000148786054374,0.0200228793385,0.0210816471635,0.416984246497,0.0078555325603,0.378301054661,0.435200737771,0.513793972132,0.00371965135939,0.500571983464,0.527041179086,21372.209408,403.912743,19320.430418,22298.352066,1,-0.001,50,distance
0.04,0.5,1.4,0.5,25,50,500,0,2.5,300000,42,1500,25,19179.634000,394.816411,155879.998711,18655.800000,19629.100000,17147.000000,20212.000000,23934.318000,180.709102,32655.779543,23697.900000,24165.000000,23389.000000,24489.000000,1147500.828396,1147500.828396,48.461942,47.941789,0.0167142659294,0.0208577784065,0.417856648235,0.521444460164,0.0167143046854,0.000343876470621,0.0149485166036,0.017620845541,0.0208578347142,0.00015786997791,0.0203919728003,0.0213668723394,0.417857617134,0.00859691176552,0.37371291509,0.440521138524,0.521445867854,0.00394674944768,0.509799320008,0.534171808486,19156.683983,394.813298,17124.058593,20189.021462,1,-0.001,50,distance
0.04,0.5,1.5,0.5,25,50,500,0,2.5,300000,42,1500,25,17174.690000,366.998095,134687.601900,16703.900000,17602.000000,14977.000000,17970.000000,21696.980667,176.510892,31156.094960,21467.000000,21919.100000,21081.000000,22307.000000,1025623.051269,1025623.051269,45.516895,47.268226,0.0167456162171,0.0211549268904,0.418640405428,0.528873172259,0.0167456552055,0.000357594226687,0.0146358963901,0.0175174984409,0.0211549891214,0.000172977858147,0.0205310947968,0.0218126834772,0.418641380138,0.00893985566719,0.365897409752,0.437937461024,0.528874728035,0.00432444645347,0.51327736992,0.54531708693,17154.177539,366.995325,14956.533881,17949.483372,1,-0.001,50,distance
0.04,0.5,1.6,0.5,25,50,500,0,2.5,300000,42,1500,25,15310.182000,353.164750,124725.340876,14847.000000,15714.100000,13059.000000,16081.000000,19666.382000,162.316633,26346.689409,19461.900000,19875.000000,19091.000000,20243.000000,916804.453146,916804.453146,44.911022,46.615603,0.0166995065823,0.0214510105536,0.417487664558,0.53627526384,0.0166994859258,0.000382378010298,0.0142912686994,0.0175440217062,0.0214510727737,0.000177417379836,0.0208308082299,0.0220926461778,0.417487148145,0.00955945025746,0.357281717484,0.438600542655,0.536276819341,0.00443543449558,0.520770205748,0.552316154446,15291.845911,353.159396,13040.724506,16062.667829,1,-0.001,50,distance
0.04,0.5,1.7,0.5,25,50,500,0,2.5,300000,42,1500,25,13650.742667,345.421451,119315.979113,13209.900000,14054.000000,11979.000000,14595.000000,17830.259333,166.582840,27749.842746,17619.900000,18030.100000,17322.000000,18418.000000,820463.960780,820463.960780,44.102777,46.012761,0.0166378333714,0.0217319226507,0.415945834284,0.543298066267,0.0166378005456,0.000417827083624,0.0145726293111,0.0177415120201,0.021731975749,0.000202242210949,0.0210626055688,0.0224655930935,0.415945013639,0.0104456770906,0.364315732778,0.443537800502,0.543299393724,0.00505605527365,0.526565139219,0.561639827338,13634.333387,345.416539,11962.559590,14578.547062,1,-0.001,50,distance
0.04,0.5,1.8,0.5,25,50,500,0,2.5,300000,42,1500,25,12157.618667,325.735291,106103.479918,11727.000000,12525.000000,10598.000000,12964.000000,16203.860667,160.525844,25768.546586,15999.000000,16411.100000,15489.000000,16719.000000,736435.908046,736435.908046,45.250909,45.445240,0.01650872606,0.02200308335,0.412718151499,0.55007708375,0.0165087038335,0.000439577423148,0.0144063617313,0.0175421050031,0.0220030981813,0.000212457488451,0.0210223289818,0.0227481542744,0.412717595838,0.0109894355787,0.360159043282,0.438552625078,0.550077454532,0.00531143721133,0.525558224545,0.568703856859,12142.889949,325.731105,10583.287056,12949.219562,1,-0.001,50,distance
0.04,0.5,1.9,0.5,25,50,500,0,2.5,300000,42,1500,25,10853.339333,305.597873,93390.060186,10448.000000,11220.000000,9485.000000,11603.000000,14759.210000,160.830227,25866.361900,14560.900000,14969.000000,14250.000000,15293.000000,663514.487528,663514.487528,44.900642,44.952913,0.0163573509507,0.0222439905645,0.408933773766,0.556099764114,0.0163573697304,0.000459388139412,0.0142903230062,0.0173902991603,0.0222440076484,0.000237375327412,0.0215406804051,0.0230152114186,0.408934243261,0.0114847034852,0.357258075155,0.434757479008,0.556100191209,0.00593438318513,0.538517010127,0.575380285466,10840.069044,305.595388,9471.725283,11589.650249,1,-0.001,50,distance
