rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,lc,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.1,0.5,1,0.5,10,50,300,0,2.5,200000,42,1500,10,22945.892667,745.985313,556494.087813,21955.700000,23818.300000,18816.000000,24539.000000,32303.929333,217.225211,47186.792340,32022.900000,32573.300000,31678.000000,33103.000000,637985.946362,637985.946362,17.056997,19.748990,0.0359661412568,0.0506342334303,0.359661412568,0.506342334303,0.0359661642724,0.00116833707731,0.0294700088216,0.0385865372871,0.0506342443328,0.000330625523322,0.0494748574951,0.0518706315754,0.359661642724,0.0116833707731,0.294700088216,0.385865372871,0.506342443328,0.00330625523304,0.494748574951,0.518706315754,22933.132948,745.984383,18803.230408,24526.281056,1,-0.001,50,distance
0.1,0.5,1.1,0.5,10,50,300,0,2.5,200000,42,1500,10,21565.465333,731.402320,534949.354132,20539.000000,22433.200000,18485.000000,23361.000000,30690.148000,223.432473,49922.070096,30404.900000,30974.000000,30060.000000,31395.000000,600846.546343,600846.546343,17.059163,19.577286,0.0358918020992,0.0510781799227,0.358918020992,0.510781799227,0.0358918139752,0.00121604853933,0.0307118234308,0.0389518587732,0.0510781858812,0.000361323545167,0.0499430037101,0.05222289265,0.358918139752,0.0121604853933,0.307118234308,0.389518587732,0.510781858812,0.00361323545165,0.499430037101,0.5222289265,21553.448402,731.401310,18472.962291,23349.005194,1,-0.001,50,distance
0.1,0.5,1.2,0.5,10,50,300,0,2.5,200000,42,1500,10,20227.620667,741.780717,550238.631440,19291.800000,21089.500000,15969.000000,21919.000000,29103.594000,215.326004,46365.287831,28821.000000,29382.000000,28348.000000,29786.000000,564839.642772,564839.642772,16.444081,19.407350,0.0358112624096,0.0515254096847,0.358112624096,0.515254096847,0.035811194333,0.0013097172194,0.028332849989,0.0387736374369,0.0515253851318,0.000365723609447,0.0501524634746,0.0527179093131,0.35811194333,0.013097172194,0.28332849989,0.387736374369,0.515253851318,0.00365723609444,0.501524634746,0.527179093131,20216.323874,741.779080,15957.727572,21907.693864,1,-0.001,50,distance
0.1,0.5,1.3,0.5,10,50,300,0,2.5,200000,42,1500,10,18903.093333,686.812734,471711.731289,17959.900000,19695.500000,16008.000000,20475.000000,27565.613333,213.231639,45467.731822,27302.000000,27837.000000,26630.000000,28289.000000,530256.059813,530256.059813,16.315046,19.235592,0.0356489906782,0.0519854753627,0.356489906782,0.519854753627,0.0356489925538,0.00129363742358,0.0301925315476,0.038622851628,0.0519854456542,0.000386610112526,0.0502946833688,0.0532817227827,0.356489925538,0.0129363742358,0.301925315476,0.38622851628,0.519854456542,0.00386610112527,0.502946833688,0.532817227827,18892.488212,686.811761,15997.396053,20464.397469,1,-0.001,50,distance
0.1,0.5,1.4,0.5,10,50,300,0,2.5,200000,42,1500,10,17643.287333,656.527137,431027.882106,16762.900000,18403.100000,14870.000000,19177.000000,26063.048667,215.331316,46367.575632,25794.000000,26335.100000,25231.000000,26790.000000,497274.468483,497274.468483,16.234846,19.079090,0.0354799782646,0.0524117973443,0.354799782646,0.524117973443,0.0354799247628,0.00131712141846,0.0298797188135,0.038451014675,0.0524117188867,0.000411129796616,0.0509207493383,0.053936964679,0.354799247628,0.0131712141847,0.298797188135,0.38451014675,0.524117188867,0.00411129796621,0.509207493383,0.53936964679,17633.341844,656.525735,14860.046760,19167.014829,1,-0.001,50,distance
0.1,0.5,1.5,0.5,10,50,300,0,2.5,200000,42,1500,10,16449.343333,645.723007,416958.201456,15650.600000,17182.200000,13594.000000,18039.000000,24639.834000,205.462732,42214.934444,24377.000000,24904.100000,23738.000000,25322.000000,466147.218491,466147.218491,16.539670,18.917772,0.0352878719015,0.0528584812321,0.352878719015,0.528584812321,0.0352877313713,0.00137986624605,0.0292005965076,0.0386693268331,0.0528583514889,0.000411122551593,0.0510135189282,0.054364136515,0.352877313713,0.0137986624605,0.292005965076,0.386693268331,0.528583514889,0.00411122551585,0.510135189282,0.54364136515,16440.020389,645.721079,13584.689231,18029.670125,1,-0.001,50,distance
0.1,0.5,1.6,0.5,10,50,300,0,2.5,200000,42,1500,10,15292.896000,649.161039,421410.054517,14450.000000,16029.200000,11687.000000,16807.000000,23270.212667,218.328223,47667.212773,22984.000000,23549.000000,22576.000000,24057.000000,436944.048571,436944.048571,16.305507,18.776296,0.0349996665477,0.0532567333112,0.349996665477,0.532567333112,0.0349994902023,0.00147987095868,0.0266997836585,0.0383950811181,0.0532565530333,0.000467708691659,0.0517910803417,0.0549686374863,0.349994902023,0.0147987095868,0.266997836585,0.383950811181,0.532565530333,0.00467708691663,0.517910803417,0.549686374863,15284.157119,649.159150,11678.245622,16798.245233,1,-0.001,50,distance
0.1,0.5,1.7,0.5,10,50,300,0,2.5,200000,42,1500,10,14223.932000,613.863790,376828.752709,13406.700000,14911.300000,11430.000000,15764.000000,21977.856667,204.833357,41956.704122,21718.000000,22241.000000,21345.000000,22749.000000,409772.835118,409772.835118,16.433878,18.644017,0.0347117494889,0.053634245082,0.347117494889,0.53634245082,0.034711659512,0.0014940024333,0.0278528669017,0.0384532027739,0.0536340366056,0.000463175685882,0.0520540541854,0.055429518061,0.34711659512,0.014940024333,0.278528669017,0.384532027739,0.536340366056,0.00463175685888,0.520540541854,0.55429518061,14215.736543,613.862442,11421.792586,15755.800943,1,-0.001,50,distance
0.1,0.5,1.8,0.5,10,50,300,0,2.5,200000,42,1500,10,13196.283333,599.695047,359634.149722,12378.900000,13895.100000,10612.000000,14581.000000,20743.628000,207.196815,42930.520283,20479.900000,21011.000000,19959.000000,21426.000000,384609.973795,384609.973795,16.829021,18.540276,0.0343108193558,0.0539341915533,0.343108193558,0.539341915533,0.0343105611025,0.00155178944544,0.0275657289105,0.0378836085052,0.0539339415494,0.000499532393907,0.0522868437218,0.0553527564406,0.343105611025,0.0155178944544,0.275657289105,0.378836085052,0.539339415494,0.00499532393901,0.522868437218,0.553527564406,13188.591134,599.692971,10604.300585,14573.302212,1,-0.001,50,distance
0.1,0.5,1.9,0.5,10,50,300,0,2.5,200000,42,1500,10,12233.962000,552.060765,304771.088556,11502.900000,12872.100000,9934.000000,13473.000000,19595.077333,208.163037,43331.850020,19322.000000,19856.000000,18959.000000,20263.000000,361477.068324,361477.068324,16.806113,18.446443,0.033844365444,0.0542083552469,0.33844365444,0.542083552469,0.0338442900409,0.00152353849827,0.0274339412764,0.0372748661552,0.0542080217791,0.000529966356781,0.0525676911664,0.0559437394847,0.338442900409,0.0152353849827,0.274339412764,0.372748661552,0.542080217791,0.00529966356778,0.525676911664,0.559437394847,12226.732459,552.059615,9926.786224,13465.767567,1,-0.001,50,distance
