rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,lc,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,50,50,500,0,2.5,300000,42,1500,50,25315.205333,257.500613,66306.565838,24981.800000,25626.000000,24206.000000,25969.000000,28417.324667,177.138625,31378.092592,28193.900000,28638.100000,27709.000000,29009.000000,2946970.743710,2946970.743710,105.617710,103.699781,0.00859024657349,0.00964289337698,0.429512328675,0.482144668849,0.0085902682682,8.75924401745e-05,0.00822129421894,0.00882323259101,0.00964293014298,6.243214291e-05,0.00943378914674,0.009856103594,0.42951341341,0.00437962200885,0.411064710947,0.44116162955,0.482146507149,0.00312160714564,0.471689457337,0.4928051797,25256.265918,257.488845,24147.113894,25910.134953,1,-0.001,50,distance
0.02,0.5,1.1,0.5,50,50,500,0,2.5,300000,42,1500,50,22332.900667,228.681080,52295.036133,22027.900000,22614.100000,21426.000000,22995.000000,25198.507333,167.936815,28202.773946,24984.900000,25409.100000,24493.000000,25766.000000,2578393.723740,2578393.723740,100.078459,102.319466,0.00866155562707,0.00977294782458,0.433077781354,0.488647391229,0.00866158271769,8.91327895122e-05,0.00828785486552,0.00890672545644,0.00977298887116,6.74580921068e-05,0.00951810266056,0.00998682121377,0.433079135884,0.00445663947565,0.414392743276,0.445336272822,0.488649443558,0.00337290460521,0.475905133028,0.499341060689,22281.332792,228.670750,21374.295427,22943.334855,1,-0.001,50,distance
0.02,0.5,1.2,0.5,50,50,500,0,2.5,300000,42,1500,50,19534.469333,223.167709,49803.826393,19256.000000,19794.000000,18272.000000,20202.000000,22204.404667,160.254421,25681.479578,22002.900000,22405.100000,21675.000000,22717.000000,2237241.423253,2237241.423253,99.040679,100.752193,0.00873149814334,0.00992490324731,0.436574907167,0.496245162366,0.00873154020209,0.000101213450281,0.00817791339943,0.00907213060651,0.00992495807094,7.51710057993e-05,0.00969500336092,0.0101743624107,0.436577010105,0.00506067251411,0.408895669971,0.453606530325,0.496247903547,0.00375855028992,0.484750168046,0.508718120535,19489.724505,223.163971,18227.313785,20157.463604,1,-0.001,50,distance
0.02,0.5,1.3,0.5,50,50,500,0,2.5,300000,42,1500,50,16983.801333,199.858508,39943.423198,16723.900000,17232.000000,16125.000000,17549.000000,19442.750667,150.070865,22521.264500,19247.700000,19636.100000,18942.000000,20030.000000,1928523.010850,1928523.010850,101.493171,99.184674,0.00880663660106,0.0100816793771,0.440331830053,0.504083968853,0.008806671483,0.000103794966422,0.00831749417165,0.00910236266699,0.0100817257013,7.89276509977e-05,0.00979753222457,0.0103789117369,0.44033357415,0.0051897483211,0.415874708583,0.45511813335,0.504086285066,0.00394638255,0.489876611228,0.518945586846,16945.230873,199.846972,16086.226303,17510.440781,1,-0.001,50,distance
0.02,0.5,1.4,0.5,50,50,500,0,2.5,300000,42,1500,50,14675.376667,188.861480,35668.658789,14437.900000,14906.000000,13903.000000,15283.000000,16969.530667,141.050104,19895.131726,16797.000000,17160.300000,16569.000000,17442.000000,1655214.307890,1655214.307890,98.579171,97.534916,0.00886614899153,0.0102521652851,0.443307449577,0.512608264253,0.00886618931303,0.000114432773366,0.00837510212219,0.00922315656932,0.0102522259952,8.75488020931e-05,0.0100126703762,0.0105247099124,0.443309465652,0.00572163866828,0.41875510611,0.461157828466,0.51261129976,0.00437744010478,0.500633518809,0.526235495621,14642.272381,188.852599,13869.901476,15249.859502,1,-0.001,50,distance
0.02,0.5,1.5,0.5,50,50,500,0,2.5,300000,42,1500,50,12661.189333,178.623463,31906.341486,12439.000000,12879.000000,11878.000000,13170.000000,14785.908667,137.038687,18779.601658,14614.000000,14966.100000,14229.000000,15256.000000,1417682.231195,1417682.231195,96.633791,95.874050,0.00893090782598,0.0104296353169,0.446545391299,0.521481765847,0.00893095569783,0.000126827943547,0.00835754460381,0.0092932121046,0.0104297010083,9.91731352052e-05,0.0100359040431,0.0107640458413,0.446547784892,0.00634139717727,0.417877230191,0.46466060523,0.521485050413,0.0049586567601,0.501795202155,0.538202292065,12632.835689,178.618002,11849.575384,13141.656732,1,-0.001,50,distance
0.02,0.5,1.6,0.5,50,50,500,0,2.5,300000,42,1500,50,10894.596000,167.736025,28135.374117,10682.900000,11101.100000,10193.000000,11363.000000,12893.804667,131.935165,17406.887845,12731.900000,13061.000000,12423.000000,13330.000000,1214375.541133,1214375.541133,96.580396,94.175503,0.00897135657873,0.0106176419319,0.448567828937,0.530882096597,0.00897138400401,0.000137095659521,0.00837986400923,0.00933220048031,0.0106176950187,0.000108818769218,0.01023895914,0.010962057416,0.448569200201,0.00685478297598,0.418993200461,0.466610024016,0.530884750936,0.00544093846078,0.511947957001,0.548102870801,10870.308489,167.725688,10168.689369,11338.639989,1,-0.001,50,distance
0.02,0.5,1.7,0.5,50,50,500,0,2.5,300000,42,1500,50,9383.804000,153.492832,23560.049584,9188.000000,9568.100000,8666.000000,9795.000000,11263.858667,122.235047,14941.406692,11102.900000,11420.000000,10876.000000,11641.000000,1043201.228169,1043201.228169,95.465834,92.606436,0.00899520029944,0.0107973978198,0.449760014972,0.539869890991,0.00899521518859,0.000145399770946,0.00832239164784,0.00937721552251,0.0107974519692,0.000117392284561,0.0104227364607,0.011155292617,0.449760759429,0.00726998854721,0.416119582392,0.468860776125,0.539872598462,0.00586961422808,0.521136823035,0.557764630852,9362.939975,153.482751,8645.174256,9774.016316,1,-0.001,50,distance
0.02,0.5,1.8,0.5,50,50,500,0,2.5,300000,42,1500,50,8085.199333,147.472265,21748.068933,7893.000000,8261.200000,7353.000000,8580.000000,9883.927333,113.114906,12794.982053,9739.000000,10023.000000,9538.000000,10344.000000,899952.446187,899952.446187,92.455280,91.042134,0.0089840295091,0.0109827217818,0.449201475455,0.549136089091,0.00898406741272,0.000163347530731,0.00819320247266,0.00950389052323,0.0109827879146,0.000126282379167,0.010546288579,0.01146369671,0.449203370636,0.00816737653653,0.409660123633,0.475194526162,0.549139395729,0.00631411895831,0.527314428952,0.573184835499,8067.200284,147.465805,7335.050975,8561.944236,1,-0.001,50,distance
0.02,0.5,1.9,0.5,50,50,500,0,2.5,300000,42,1500,50,6990.146667,142.406853,20279.711822,6814.800000,7163.100000,6363.000000,7362.000000,8705.929333,109.810760,12058.403006,8570.000000,8846.100000,8345.000000,9140.000000,781900.091431,781900.091431,93.292974,89.801308,0.0089399486498,0.0111343244856,0.44699743249,0.556716224281,0.00893999256975,0.000181890030379,0.008143364022,0.00939130942601,0.0111343941204,0.000141168168505,0.0106509880921,0.0116999444272,0.446999628487,0.00909450151898,0.4071682011,0.469565471301,0.556719706019,0.00705840842523,0.532549404603,0.584997221361,6974.508665,142.402316,6347.372552,7346.271505,1,-0.001,50,distance
