rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.05,50,50,500,1,200000,42,1000,50,11637.147000,127.712973,16310.603391,11476.000000,11799.100000,11023.000000,11967.000000,11637.147000,127.712973,16310.603391,11476.000000,11799.100000,11023.000000,11967.000000,1308356.656408,1308356.656408,112.195758,112.420480,0.00889447609182,0.00889447609182,0.444723804591,0.444723804591,0.00889460619203,0.000103567132675,0.00847938681071,0.0091860803645,0.00889460619203,0.000103567132675,0.00847938681071,0.0091860803645,0.444730309602,0.00517835663377,0.423969340535,0.459304018225,0.444730309602,0.00517835663377,0.423969340535,0.459304018225,11610.979867,127.714183,10997.000478,11940.834225,1,-0.001,50,distance
0.02,0.5,1.1,0.05,50,50,500,1,200000,42,1000,50,9098.832000,113.137376,12800.065776,8953.600000,9243.000000,8754.000000,9443.000000,9098.832000,113.137376,12800.065776,8953.600000,9243.000000,8754.000000,9443.000000,1014510.575365,1014510.575365,99.739999,111.489623,0.00896869113141,0.00896869113141,0.44843455657,0.44843455657,0.00896881510341,0.000115248943377,0.00859035371622,0.00931739191748,0.00896881510341,0.000115248943377,0.00859035371622,0.00931739191748,0.448440755171,0.0057624471688,0.429517685811,0.465869595874,0.448440755171,0.0057624471688,0.429517685811,0.465869595874,9078.541788,113.131961,8733.651655,9422.659167,1,-0.001,50,distance
0.02,0.5,1.2,0.05,50,50,500,1,200000,42,1000,50,6921.612000,96.790379,9368.377456,6795.900000,7039.100000,6586.000000,7252.000000,6921.612000,96.790379,9368.377456,6795.900000,7039.100000,6586.000000,7252.000000,765539.204517,765539.204517,97.474120,110.589584,0.00904148599988,0.00904148599988,0.452074299994,0.452074299994,0.00904162799998,0.000129817886411,0.0086081819595,0.00947174463169,0.00904162799998,0.000129817886411,0.0086081819595,0.00947174463169,0.452081399999,0.0064908943206,0.430409097975,0.473587231584,0.452081399999,0.0064908943206,0.430409097975,0.473587231584,6906.301216,96.784972,6570.698279,7236.687087,1,-0.001,50,distance
0.02,0.5,1.3,0.05,50,50,500,1,200000,42,1000,50,5153.812000,81.913678,6709.850656,5049.900000,5254.000000,4865.000000,5444.000000,5153.812000,81.913678,6709.850656,5049.900000,5254.000000,4865.000000,5444.000000,565450.941062,565450.941062,100.938855,109.698016,0.00911451661981,0.00911451661981,0.45572583099,0.45572583099,0.00911476616984,0.000151452335551,0.00861291527876,0.00964089533502,0.00911476616984,0.000151452335551,0.00861291527876,0.00964089533502,0.455738308492,0.00757261677754,0.430645763938,0.482044766751,0.455738308492,0.00757261677754,0.430645763938,0.482044766751,5142.502981,81.910890,4853.748536,5432.706443,1,-0.001,50,distance
0.02,0.5,1.4,0.05,50,50,500,1,200000,42,1000,50,3757.983000,72.189312,5211.296711,3664.000000,3847.000000,3531.000000,4031.000000,3757.983000,72.189312,5211.296711,3664.000000,3847.000000,3531.000000,4031.000000,411329.440175,411329.440175,105.051363,109.429180,0.00913618776813,0.00913618776813,0.456809388407,0.456809388407,0.00913635871678,0.000175393893579,0.00853617550813,0.00977647981026,0.00913635871678,0.000175393893579,0.00853617550813,0.00977647981026,0.456817935839,0.0087696946789,0.426808775406,0.488823990513,0.456817935839,0.0087696946789,0.426808775406,0.488823990513,3749.756411,72.181190,3522.751762,4022.753678,1,-0.001,50,distance
0.02,0.5,1.5,0.05,50,50,500,1,200000,42,1000,50,2711.453000,59.139122,3497.435791,2636.900000,2788.100000,2549.000000,2910.000000,2711.453000,59.139122,3497.435791,2636.900000,2788.100000,2549.000000,2910.000000,296900.989331,296900.989331,99.402088,109.465801,0.0091325158805,0.0091325158805,0.456625794025,0.456625794025,0.0091327732806,0.000200628210758,0.00850132427811,0.00985948842022,0.0091327732806,0.000200628210758,0.00850132427811,0.00985948842022,0.45663866403,0.0100314105379,0.425066213906,0.492974421011,0.45663866403,0.0100314105379,0.425066213906,0.492974421011,2705.514980,59.133377,2543.053044,2904.016197,1,-0.001,50,distance
0.02,0.5,1.6,0.05,50,50,500,1,200000,42,1000,50,1937.496000,50.036287,2503.629984,1873.000000,2000.000000,1777.000000,2082.000000,1937.496000,50.036287,2503.629984,1873.000000,2000.000000,1777.000000,2082.000000,214222.584950,214222.584950,96.729341,110.516964,0.00904431248673,0.00904431248673,0.452215624336,0.452215624336,0.00904449850659,0.000230917912385,0.00828368147031,0.00972896286495,0.00904449850659,0.000230917912385,0.00828368147031,0.00972896286495,0.452224925329,0.0115458956193,0.414184073515,0.486448143247,0.452224925329,0.0115458956193,0.414184073515,0.486448143247,1933.211548,50.030395,1772.709637,2077.705077,1,-0.001,50,distance
0.02,0.5,1.7,0.05,50,50,500,1,200000,42,1000,50,1381.698000,41.796229,1746.924796,1329.000000,1436.000000,1248.000000,1542.000000,1381.698000,41.796229,1746.924796,1329.000000,1436.000000,1248.000000,1542.000000,155943.899077,155943.899077,97.997473,112.792766,0.00886022478711,0.00886022478711,0.443011239355,0.443011239355,0.00886052056176,0.000267585424679,0.00799929399806,0.00972245918719,0.00886052056176,0.000267585424679,0.00799929399806,0.00972245918719,0.443026028088,0.0133792712339,0.399964699903,0.486122959359,0.443026028088,0.0133792712339,0.399964699903,0.486122959359,1378.579122,41.792529,1244.892120,1538.827963,1,-0.001,50,distance
0.02,0.5,1.8,0.05,50,50,500,1,200000,42,1000,50,986.929000,36.216239,1311.615959,940.000000,1033.000000,882.000000,1101.000000,986.929000,36.216239,1311.615959,940.000000,1033.000000,882.000000,1101.000000,115311.479464,115311.479464,100.232630,116.741495,0.00855880962229,0.00855880962229,0.427940481114,0.427940481114,0.00855927844579,0.000317599406172,0.00758508154364,0.0095356754794,0.00855927844579,0.000317599406172,0.00758508154364,0.0095356754794,0.42796392229,0.0158799703086,0.379254077182,0.47678377397,0.42796392229,0.0158799703086,0.379254077182,0.47678377397,984.622770,36.214636,879.674382,1098.690777,1,-0.001,50,distance
0.02,0.5,1.9,0.05,50,50,500,1,200000,42,1000,50,706.640000,30.078238,904.700400,669.000000,747.000000,587.000000,794.000000,706.640000,30.078238,904.700400,669.000000,747.000000,587.000000,794.000000,87149.030785,87149.030785,107.638078,123.184816,0.0081084091657,0.0081084091657,0.405420458285,0.405420458285,0.00810856479427,0.000340338696319,0.00668080166246,0.00911198255519,0.00810856479427,0.000340338696319,0.00668080166246,0.00911198255519,0.405428239714,0.0170169348159,0.334040083123,0.455599127759,0.405428239714,0.0170169348159,0.334040083123,0.455599127759,704.897019,30.075495,585.264038,792.244913,1,-0.001,50,distance
