rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,1,0.5,50,50,500,1,5000,1776707098,1500,50,438.297333,19.390743,376.000926,414.000000,462.000000,371.000000,515.000000,438.297333,19.390743,376.000926,414.000000,462.000000,371.000000,515.000000,48377.467586,48377.467586,109.331060,110.151950,0.0090599478478,0.0090599478478,0.45299739239,0.45299739239,0.00906220980835,0.000424093533356,0.00774430044369,0.0107393162011,0.00906220980835,0.000424093533356,0.00774430044369,0.0107393162011,0.453110490417,0.0212046766678,0.387215022185,0.536965810054,0.453110490417,0.0212046766678,0.387215022185,0.536965810054,437.329784,19.390297,370.044080,514.040907,1,-0.001,50,distance
0.02,0.5,1.1,0.5,50,50,500,1,5000,1776707098,1500,50,386.906667,18.971785,359.928622,363.000000,411.000000,327.000000,458.000000,386.906667,18.971785,359.928622,363.000000,411.000000,327.000000,458.000000,42313.280077,42313.280077,102.951383,109.126939,0.00914385899567,0.00914385899567,0.457192949783,0.457192949783,0.0091459636907,0.000459358304555,0.00771580574135,0.0106335915316,0.0091459636907,0.000459358304555,0.00771580574135,0.0106335915316,0.457298184535,0.0229679152277,0.385790287067,0.531679576578,0.457298184535,0.0229679152277,0.385790287067,0.531679576578,386.060401,18.969852,326.157666,457.123114,1,-0.001,50,distance
0.02,0.5,1.2,0.5,50,50,500,1,5000,1776707098,1500,50,338.912000,18.217069,331.861589,315.000000,363.000000,282.000000,410.000000,338.912000,18.217069,331.861589,315.000000,363.000000,282.000000,410.000000,36681.198936,36681.198936,99.989181,107.960655,0.00923939265437,0.00923939265437,0.461969632719,0.461969632719,0.00924216313595,0.000517492388686,0.0074626827807,0.0111263121738,0.00924216313595,0.000517492388686,0.0074626827807,0.0111263121738,0.462108156797,0.0258746194343,0.373134139035,0.556315608692,0.462108156797,0.0258746194343,0.373134139035,0.556315608692,338.178376,18.216270,281.244240,409.263008,1,-0.001,50,distance
0.02,0.5,1.3,0.5,50,50,500,1,5000,1776707098,1500,50,294.750667,16.667708,277.812500,274.900000,317.000000,241.000000,358.000000,294.750667,16.667708,277.812500,274.900000,317.000000,241.000000,358.000000,31571.079738,31571.079738,102.536391,106.791273,0.00933609712151,0.00933609712151,0.466804856075,0.466804856075,0.00933912033184,0.000548183925859,0.00767611418568,0.0114168558944,0.00933912033184,0.000548183925859,0.00767611418568,0.0114168558944,0.466956016592,0.027409196293,0.383805709284,0.57084279472,0.466956016592,0.027409196293,0.383805709284,0.57084279472,294.119245,16.666775,240.372078,357.372857,1,-0.001,50,distance
0.02,0.5,1.4,0.5,50,50,500,1,5000,1776707098,1500,50,255.501333,15.643593,244.721998,235.000000,276.000000,201.000000,299.000000,255.501333,15.643593,244.721998,235.000000,276.000000,201.000000,299.000000,27107.884907,27107.884907,97.455558,105.750405,0.00942535111869,0.00942535111869,0.471267555934,0.471267555934,0.00942840980368,0.000591049176174,0.00762564200887,0.0115377949849,0.00942840980368,0.000591049176174,0.00762564200887,0.0115377949849,0.471420490184,0.0295524588087,0.381282100443,0.576889749245,0.471420490184,0.0295524588087,0.381282100443,0.576889749245,254.959176,15.642285,200.478806,298.454771,1,-0.001,50,distance
0.02,0.5,1.5,0.5,50,50,500,1,5000,1776707098,1500,50,220.505333,14.597556,213.088638,202.000000,239.000000,173.000000,261.000000,220.505333,14.597556,213.088638,202.000000,239.000000,173.000000,261.000000,23174.578754,23174.578754,99.195673,104.671059,0.00951496619102,0.00951496619102,0.475748309551,0.475748309551,0.00951830130247,0.000642900695986,0.00729733074522,0.0118963965092,0.00951830130247,0.000642900695986,0.00729733074522,0.0118963965092,0.475915065123,0.0321450347993,0.364866537261,0.594819825458,0.475915065123,0.0321450347993,0.364866537261,0.594819825458,220.041842,14.596341,172.525854,260.561212,1,-0.001,50,distance
0.02,0.5,1.6,0.5,50,50,500,1,5000,1776707098,1500,50,189.888667,13.983381,195.534938,172.000000,208.000000,143.000000,230.000000,189.888667,13.983381,195.534938,172.000000,208.000000,143.000000,230.000000,19846.855044,19846.855044,93.611855,104.053178,0.00956769554908,0.00956769554908,0.478384777454,0.478384777454,0.0095708712985,0.000714189486634,0.00705516165701,0.0119553346915,0.0095708712985,0.000714189486634,0.00705516165701,0.0119553346915,0.478543564925,0.0357094743317,0.352758082851,0.597766734575,0.478543564925,0.0357094743317,0.352758082851,0.597766734575,189.491730,13.982295,142.594623,229.607042,1,-0.001,50,distance
0.02,0.5,1.7,0.5,50,50,500,1,5000,1776707098,1500,50,165.028667,13.349052,178.197178,148.000000,182.000000,123.000000,221.000000,165.028667,13.349052,178.197178,148.000000,182.000000,123.000000,221.000000,17051.357491,17051.357491,100.525781,102.747440,0.00967833011249,0.00967833011249,0.483916505624,0.483916505624,0.00968193871765,0.000789582077776,0.00737838271869,0.0126362027317,0.00968193871765,0.000789582077776,0.00737838271869,0.0126362027317,0.484096935882,0.0394791038888,0.368919135935,0.631810136584,0.484096935882,0.0394791038888,0.368919135935,0.631810136584,164.687640,13.348003,122.668030,220.650211,1,-0.001,50,distance
0.02,0.5,1.8,0.5,50,50,500,1,5000,1776707098,1500,50,141.765333,12.074806,145.800932,127.000000,157.000000,103.000000,182.000000,141.765333,12.074806,145.800932,127.000000,157.000000,103.000000,182.000000,14669.632306,14669.632306,93.347676,102.856159,0.00966386412278,0.00966386412278,0.483193206139,0.483193206139,0.00966867122773,0.000843072136848,0.00701609589888,0.0124601359305,0.00966867122773,0.000843072136848,0.00701609589888,0.0124601359305,0.483433561387,0.0421536068424,0.350804794944,0.623006796524,0.483433561387,0.0421536068424,0.350804794944,0.623006796524,141.471941,12.074319,102.706389,181.707868,1,-0.001,50,distance
0.02,0.5,1.9,0.5,50,50,500,1,5000,1776707098,1500,50,123.567333,11.298678,127.660133,109.000000,138.000000,91.000000,165.000000,123.567333,11.298678,127.660133,109.000000,138.000000,91.000000,165.000000,12749.075519,12749.075519,90.061894,102.467945,0.00969225832511,0.00969225832511,0.484612916255,0.484612916255,0.00969581091843,0.000890467693086,0.00712610647374,0.0133059870428,0.00969581091843,0.000890467693086,0.00712610647374,0.0133059870428,0.484790545921,0.0445233846543,0.356305323687,0.665299352142,0.484790545921,0.0445233846543,0.356305323687,0.665299352142,123.312352,11.297856,90.749385,164.751991,1,-0.001,50,distance
0.02,0.5,2,0.5,50,50,500,1,5000,1776707098,1500,50,108.044000,10.508254,110.423397,95.000000,122.000000,77.000000,140.000000,108.044000,10.508254,110.423397,95.000000,122.000000,77.000000,140.000000,11160.967156,11160.967156,92.554408,102.488203,0.0096805230664,0.0096805230664,0.48402615332,0.48402615332,0.00968485315798,0.0009540104851,0.00686482120452,0.0130059318879,0.00968485315798,0.0009540104851,0.00686482120452,0.0130059318879,0.484242657899,0.047700524255,0.343241060226,0.650296594393,0.484242657899,0.047700524255,0.343241060226,0.650296594393,107.820781,10.507666,76.775668,139.784714,1,-0.001,50,distance
0.02,0.5,2.1,0.5,50,50,500,1,5000,1776707098,1500,50,94.852000,9.924218,98.490096,82.000000,108.000000,66.000000,130.000000,94.852000,9.924218,98.490096,82.000000,108.000000,66.000000,130.000000,9872.027271,9872.027271,90.993382,103.093599,0.00960815822244,0.00960815822244,0.480407911122,0.480407911122,0.00961109495148,0.00100362660273,0.00670664913565,0.0135504176665,0.00961109495148,0.00100362660273,0.00670664913565,0.0135504176665,0.480554747574,0.0501813301364,0.335332456783,0.677520883324,0.480554747574,0.0501813301364,0.335332456783,0.677520883324,94.654559,9.923521,65.803188,129.808124,1,-0.001,50,distance
0.02,0.5,2.2,0.5,50,50,500,1,5000,1776707098,1500,50,83.915333,9.333747,87.118832,72.000000,96.000000,58.000000,120.000000,83.915333,9.333747,87.118832,72.000000,96.000000,58.000000,120.000000,8813.507361,8813.507361,93.532184,103.866519,0.00952121895348,0.00952121895348,0.476060947674,0.476060947674,0.0095232048635,0.00105029397036,0.00654868943056,0.0137917198758,0.0095232048635,0.00105029397036,0.00654868943056,0.0137917198758,0.476160243175,0.0525146985178,0.327434471528,0.689585993791,0.476160243175,0.0525146985178,0.327434471528,0.689585993791,83.739063,9.333093,57.822865,119.825983,1,-0.001,50,distance
0.02,0.5,2.3,0.5,50,50,500,1,5000,1776707098,1500,50,73.918667,8.874010,78.748052,62.000000,85.000000,50.000000,113.000000,73.918667,8.874010,78.748052,62.000000,85.000000,50.000000,113.000000,7941.110020,7941.110020,97.282704,106.092230,0.00930835443408,0.00930835443408,0.465417721704,0.465417721704,0.00930984086673,0.00110618326571,0.0063003614249,0.0142049603531,0.00930984086673,0.00110618326571,0.0063003614249,0.0142049603531,0.465492043337,0.0553091632853,0.315018071245,0.710248017655,0.465492043337,0.0553091632853,0.315018071245,0.710248017655,73.759844,8.873395,49.841279,112.840901,1,-0.001,50,distance
0.02,0.5,2.4,0.5,50,50,500,1,5000,1776707098,1500,50,66.120667,8.610813,74.146106,55.000000,77.000000,38.000000,97.000000,66.120667,8.610813,74.146106,55.000000,77.000000,38.000000,97.000000,7227.292490,7227.292490,92.748000,107.874355,0.00914874647162,0.00914874647162,0.457437323581,0.457437323581,0.00915046072121,0.0011858590972,0.00525746938014,0.012971119013,0.00915046072121,0.0011858590972,0.00525746938014,0.012971119013,0.45752303606,0.0592929548598,0.262873469007,0.648555950648,0.45752303606,0.0592929548598,0.262873469007,0.648555950648,65.976121,8.610425,37.855444,96.849693,1,-0.001,50,distance
0.02,0.5,2.5,0.5,50,50,500,1,5000,1776707098,1500,50,59.293333,8.037119,64.595289,49.000000,70.000000,36.000000,95.000000,59.293333,8.037119,64.595289,49.000000,70.000000,36.000000,95.000000,6647.817718,6647.817718,93.053414,110.501940,0.00891921768168,0.00891921768168,0.445960884084,0.445960884084,0.00891943506531,0.00119632989043,0.00536905720567,0.0143362565576,0.00891943506531,0.00119632989043,0.00536905720567,0.0143362565576,0.445971753266,0.0598164945213,0.268452860284,0.716812827882,0.445971753266,0.0598164945213,0.268452860284,0.716812827882,59.160377,8.036660,35.867451,94.867469,1,-0.001,50,distance
