rho,rv,mu,lmin,lmax,dx,chunk_size,remove_prob,lc,flights,seed,reps,lambda,unique_caps_mean,unique_caps_std,unique_caps_var,unique_caps_p10,unique_caps_p90,unique_caps_min,unique_caps_max,visits_mean,visits_std,visits_var,visits_p10,visits_p90,visits_min,visits_max,mean_distance,mean_time,mfpt,mean_time_between,eta_unique_global,eta_visits_global,normalized_rate_unique_global,normalized_rate_visits_global,eta_unique_mean,eta_unique_std,eta_unique_min,eta_unique_max,eta_visits_mean,eta_visits_std,eta_visits_min,eta_visits_max,normalized_rate_unique_mean,normalized_rate_unique_std,normalized_rate_unique_min,normalized_rate_unique_max,normalized_rate_visits_mean,normalized_rate_visits_std,normalized_rate_visits_min,normalized_rate_visits_max,score_mean,score_std,score_min,score_max,r_target,r_step,score_dx,score_mode
0.02,0.5,2,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,107.430000,10.540640,111.105100,94.000000,121.000000,69.000000,139.000000,128.672000,13.079618,171.076416,113.000000,146.000000,76.000000,166.000000,11420.465623,11420.465623,91.120448,87.980490,0.00940679684574,0.0112667910615,0.470339842287,0.563339553074,0.00940797099966,0.000908033422426,0.00621029428038,0.0119667175846,0.0112702552803,0.00114794040948,0.00687799516969,0.0148455294744,0.470398549983,0.0454016711213,0.310514714019,0.598335879229,0.563512764016,0.057397020474,0.343899758484,0.742276473718,107.201591,10.539547,68.777788,138.765041,1,-0.001,50,distance
0.02,0.5,2.1,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,94.916667,9.996419,99.928389,82.000000,108.000000,65.000000,129.000000,115.507333,12.895915,166.304613,99.000000,132.000000,77.000000,157.000000,10098.915233,10098.915233,91.866576,86.550869,0.00939869921412,0.0114375980652,0.469934960706,0.571879903262,0.00939841096976,0.00095741360082,0.00659133267904,0.0126980409665,0.0114391613446,0.00125759585864,0.00760079337966,0.0155443718367,0.469920548488,0.047870680041,0.329566633952,0.634902048324,0.571958067229,0.0628797929321,0.380039668983,0.777218591836,94.714688,9.995104,64.802771,128.796819,1,-0.001,50,distance
0.02,0.5,2.2,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,83.469333,9.095625,82.730393,72.000000,95.000000,56.000000,113.000000,103.566000,12.256983,150.233644,88.000000,119.000000,68.000000,149.000000,9015.611800,9015.611800,93.320074,86.033139,0.00925831049307,0.0114874067665,0.462915524654,0.574370338323,0.00925804517483,0.000980213607515,0.00644951156969,0.0125299351014,0.0114891858886,0.00134663787234,0.0076963428124,0.0170818814429,0.462902258742,0.0490106803757,0.322475578485,0.626496755069,0.574459294429,0.067331893617,0.38481714062,0.854094072147,83.289021,9.094524,55.826358,112.819632,1,-0.001,50,distance
0.02,0.5,2.3,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,74.300000,9.322267,86.904667,62.000000,86.100000,47.000000,105.000000,94.014000,12.476771,155.669804,78.000000,110.000000,58.000000,133.000000,8137.001067,8137.001067,93.373014,85.460298,0.00913112821198,0.0115538881255,0.456556410599,0.577694406273,0.00912984719751,0.00111397250813,0.0060745599743,0.0126288894278,0.0115540228383,0.00150706344829,0.0072889487101,0.0163641308342,0.456492359875,0.0556986254066,0.303727998715,0.631444471389,0.577701141917,0.0753531724145,0.364447435505,0.818206541709,74.137260,9.321331,46.847678,104.833715,1,-0.001,50,distance
0.02,0.5,2.4,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,66.391333,8.404336,70.632858,56.000000,77.000000,41.000000,95.000000,86.014000,11.810411,139.485804,71.000000,101.000000,48.000000,133.000000,7407.985165,7407.985165,96.906001,84.857946,0.00896213097854,0.0116109843753,0.448106548927,0.580549218765,0.00896070147614,0.00110472051867,0.00560791489186,0.0130075209376,0.0116113089793,0.00157464552287,0.00650435443932,0.0182105293127,0.448035073807,0.0552360259336,0.280395744593,0.650376046881,0.580565448967,0.0787322761438,0.325217721966,0.910526465633,66.243174,8.403509,40.853778,94.853931,1,-0.001,50,distance
0.02,0.5,2.5,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,59.509333,8.226659,67.677913,49.000000,70.000000,35.000000,86.000000,78.640667,11.362257,129.100880,64.000000,93.000000,46.000000,117.000000,6819.096333,6819.096333,96.682080,85.231203,0.00872686503134,0.0115324176147,0.436343251567,0.576620880737,0.00872235370806,0.00115549322149,0.00530530357995,0.0124218482306,0.0115301771748,0.0016310935541,0.00671543643675,0.0174092330153,0.436117685403,0.0577746610747,0.265265178997,0.621092411531,0.57650885874,0.0815546777049,0.335771821838,0.870461650764,59.372951,8.225621,34.871319,85.860741,1,-0.001,50,distance
0.02,0.5,2.6,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,53.467333,7.798607,60.818266,43.000000,64.000000,31.000000,80.000000,72.478667,11.160535,124.557545,58.000000,87.000000,41.000000,103.000000,6323.209822,6323.209822,96.292977,85.650399,0.00845572657485,0.0114623219382,0.422786328743,0.573116096909,0.0084518674081,0.00119294407491,0.00497017138861,0.012618731459,0.0114596383498,0.00173285027024,0.00650947414234,0.0166072188656,0.422593370405,0.0596472037456,0.24850856943,0.630936572951,0.572981917489,0.086642513512,0.325473707117,0.830360943278,53.340869,7.797822,30.875256,79.873204,1,-0.001,50,distance
0.02,0.5,2.7,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,48.936667,7.755041,60.140656,39.000000,59.000000,24.000000,78.000000,67.986000,11.298870,127.664471,53.000000,83.000000,34.000000,110.000000,5913.595184,5913.595184,100.767103,85.241625,0.00827528181195,0.011496559688,0.413764090598,0.574827984402,0.00827024169977,0.00127014537063,0.00425504214436,0.012734515831,0.0114927022771,0.00187727195365,0.00595486317717,0.0188732003489,0.413512084988,0.0635072685312,0.212752107218,0.636725791548,0.574635113856,0.0938635976823,0.297743158859,0.943660017446,48.818395,7.754302,23.887193,77.877498,1,-0.001,50,distance
0.02,0.5,2.8,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,44.466000,6.993295,48.906177,35.000000,54.000000,25.000000,69.000000,63.115333,10.837067,117.442032,50.000000,77.000000,34.000000,102.000000,5577.462849,5577.462849,97.177592,86.556772,0.00797244216688,0.0113161369326,0.398622108344,0.565806846628,0.00796795533281,0.00121672649009,0.0046047491877,0.012118903574,0.0113105234359,0.00190076154589,0.00616102846526,0.018171103634,0.398397766641,0.0608363245044,0.230237459385,0.605945178701,0.565526171796,0.0950380772946,0.308051423263,0.908555181702,44.354451,6.992657,24.891416,68.886128,1,-0.001,50,distance
0.02,0.5,2.9,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,41.333333,7.117834,50.663556,32.000000,51.000000,21.000000,71.000000,59.864000,10.901323,118.838837,46.000000,74.000000,31.000000,100.000000,5293.624886,5293.624886,100.963635,86.453027,0.00780813416533,0.0113086970244,0.390406708267,0.565434851218,0.00780223627324,0.00130264659877,0.00401950248794,0.0130743492013,0.0112997020147,0.00199958299047,0.00595031389955,0.0185298519709,0.390111813662,0.0651323299384,0.200975124397,0.653717460066,0.564985100734,0.0999791495236,0.297515694977,0.926492598543,41.227461,7.117196,20.895509,70.891390,1,-0.001,50,distance
0.02,0.5,3,0.5,50,50,500,0,2.5,5000,1776707101,1500,50,37.973333,7.016311,49.228622,29.000000,47.000000,20.000000,60.000000,56.200667,11.028708,121.632400,42.000000,71.000000,28.000000,92.000000,5054.438444,5054.438444,108.442528,87.676443,0.00751286888853,0.0111190723345,0.375643444427,0.555953616724,0.00750685117127,0.00134916340318,0.00413951760079,0.0116241337483,0.0111104614185,0.00213078003238,0.00566958500234,0.0180127538814,0.375342558563,0.0674581701592,0.20697588004,0.581206687414,0.555523070926,0.106539001619,0.283479250117,0.90063769407,37.872245,7.015730,19.903370,59.896606,1,-0.001,50,distance
